"StageName","StageType","Result","Resource Start","Direction","Name","Field","Row","Type","Value"
,,,,IN,"File Data","Annual Income","21","Text","?52 ,815"
,,,,IN,"File Data","Loan Amount","21","Text","?1,369.73"
,,,,IN,"File Data","Loan Request Date","21","Text","2-Aug-23"
,,,,IN,"File Data","Loan Term","21","Text","10"
,,,,IN,"File Data","Loan Approved","21","Text",""
,,,,IN,"File Data","APR %","21","Text",""
,,,,IN,"File Data","Loan ID","21","Text",""
,,,,IN,"File Data","loan info","21","Text",""
,,,,IN,"File Data","Name","22","Text","Jelani Campbell"
,,,,IN,"File Data","Email","22","Text","odio.semper.cursus@google.com"
,,,,IN,"File Data","Age","22","Text","28"
,,,,IN,"File Data","Annual Income","22","Text","?72 ,018"
,,,,IN,"File Data","Loan Amount","22","Text","?8,727.36"
,,,,IN,"File Data","Loan Request Date","22","Text","1-Dec-23"
,,,,IN,"File Data","Loan Term","22","Text","10"
,,,,IN,"File Data","Loan Approved","22","Text",""
,,,,IN,"File Data","APR %","22","Text",""
,,,,IN,"File Data","Loan ID","22","Text",""
,,,,IN,"File Data","loan info","22","Text",""
,,,,IN,"File Data","Name","23","Text","Brenden Hartman"
,,,,IN,"File Data","Email","23","Text","et.magnis@outlook.net"
,,,,IN,"File Data","Age","23","Text","21"
,,,,IN,"File Data","Annual Income","23","Text","?68 ,875"
,,,,IN,"File Data","Loan Amount","23","Text","?7,332.66"
,,,,IN,"File Data","Loan Request Date","23","Text","6-Sep-24"
,,,,IN,"File Data","Loan Term","23","Text","10"
,,,,IN,"File Data","Loan Approved","23","Text",""
,,,,IN,"File Data","APR %","23","Text",""
,,,,IN,"File Data","Loan ID","23","Text",""
,,,,IN,"File Data","loan info","23","Text",""
,,,,IN,"File Data","Name","24","Text","Reese Craig"
,,,,IN,"File Data","Email","24","Text","auctor@aol.edu"
,,,,IN,"File Data","Age","24","Text","74"
,,,,IN,"File Data","Annual Income","24","Text","?83 ,926"
,,,,IN,"File Data","Loan Amount","24","Text","?7,040.41"
,,,,IN,"File Data","Loan Request Date","24","Text","27-Aug-23"
,,,,IN,"File Data","Loan Term","24","Text","10"
,,,,IN,"File Data","Loan Approved","24","Text",""
,,,,IN,"File Data","APR %","24","Text",""
,,,,IN,"File Data","Loan ID","24","Text",""
,,,,IN,"File Data","loan info","24","Text",""
,,,,IN,"File Data","Name","25","Text","Abraham Vinson"
,,,,IN,"File Data","Email","25","Text","curabitur.dictum@google.com"
,,,,IN,"File Data","Age","25","Text","47"
,,,,IN,"File Data","Annual Income","25","Text","?63 ,826"
,,,,IN,"File Data","Loan Amount","25","Text","?310.74"
,,,,IN,"File Data","Loan Request Date","25","Text","15-Sep-23"
,,,,IN,"File Data","Loan Term","25","Text","10"
,,,,IN,"File Data","Loan Approved","25","Text",""
,,,,IN,"File Data","APR %","25","Text",""
,,,,IN,"File Data","Loan ID","25","Text",""
,,,,IN,"File Data","loan info","25","Text",""
,,,,OUT,"Valid Excel File",,,"Flag","True"
,,,,OUT,"File Data",,,,
,,,,OUT,"File Data","Name","1","Text","Isabella Reyes"
,,,,OUT,"File Data","Email","1","Text","nisi.dictum@outlook.ca"
,,,,OUT,"File Data","Age","1","Text","51"
,,,,OUT,"File Data","Annual Income","1","Text","?82 ,058"
,,,,OUT,"File Data","Loan Amount","1","Text","?3,616.41"
,,,,OUT,"File Data","Loan Request Date","1","Text","19-Jan-24"
,,,,OUT,"File Data","Loan Term","1","Text","3"
,,,,OUT,"File Data","Loan Approved","1","Text",""
,,,,OUT,"File Data","APR %","1","Text",""
,,,,OUT,"File Data","Loan ID","1","Text",""
,,,,OUT,"File Data","loan info","1","Text",""
,,,,OUT,"File Data","Name","2","Text","Fay Schultz"
,,,,OUT,"File Data","Email","2","Text","eu@outlook.org"
,,,,OUT,"File Data","Age","2","Text","71"
,,,,OUT,"File Data","Annual Income","2","Text","?63 ,579"
,,,,OUT,"File Data","Loan Amount","2","Text","?3,991.56"
,,,,OUT,"File Data","Loan Request Date","2","Text","20-Aug-23"
,,,,OUT,"File Data","Loan Term","2","Text","9"
,,,,OUT,"File Data","Loan Approved","2","Text",""
,,,,OUT,"File Data","APR %","2","Text",""
,,,,OUT,"File Data","Loan ID","2","Text",""
,,,,OUT,"File Data","loan info","2","Text",""
,,,,OUT,"File Data","Name","3","Text","Kristen Skinner"
,,,,OUT,"File Data","Email","3","Text","nostra@outlook.edu"
,,,,OUT,"File Data","Age","3","Text","95"
,,,,OUT,"File Data","Annual Income","3","Text","?91 ,414"
,,,,OUT,"File Data","Loan Amount","3","Text","?302.94"
,,,,OUT,"File Data","Loan Request Date","3","Text","29-Dec-23"
,,,,OUT,"File Data","Loan Term","3","Text","9"
,,,,OUT,"File Data","Loan Approved","3","Text",""
,,,,OUT,"File Data","APR %","3","Text",""
,,,,OUT,"File Data","Loan ID","3","Text",""
,,,,OUT,"File Data","loan info","3","Text",""
,,,,OUT,"File Data","Name","4","Text","Yael Guerra"
,,,,OUT,"File Data","Email","4","Text","erat.semper@google.net"
,,,,OUT,"File Data","Age","4","Text","91"
,,,,OUT,"File Data","Annual Income","4","Text","?68 ,730"
,,,,OUT,"File Data","Loan Amount","4","Text","?4,619.69"
,,,,OUT,"File Data","Loan Request Date","4","Text","12-Jun-24"
,,,,OUT,"File Data","Loan Term","4","Text","9"
,,,,OUT,"File Data","Loan Approved","4","Text",""
,,,,OUT,"File Data","APR %","4","Text",""
,,,,OUT,"File Data","Loan ID","4","Text",""
,,,,OUT,"File Data","loan info","4","Text",""
,,,,OUT,"File Data","Name","5","Text","Macon Olsen"
,,,,OUT,"File Data","Email","5","Text","praesent.interdum.ligula@protonmail.edu"
,,,,OUT,"File Data","Age","5","Text","68"
,,,,OUT,"File Data","Annual Income","5","Text","?11 ,478"
,,,,OUT,"File Data","Loan Amount","5","Text","?9,108.45"
,,,,OUT,"File Data","Loan Request Date","5","Text","23-May-23"
,,,,OUT,"File Data","Loan Term","5","Text","9"
,,,,OUT,"File Data","Loan Approved","5","Text",""
,,,,OUT,"File Data","APR %","5","Text",""
,,,,OUT,"File Data","Loan ID","5","Text",""
,,,,OUT,"File Data","loan info","5","Text",""
,,,,OUT,"File Data","Name","6","Text","Adrian Larsen"
,,,,OUT,"File Data","Email","6","Text","nunc.lectus.pede@hotmail.org"
,,,,OUT,"File Data","Age","6","Text","41"
,,,,OUT,"File Data","Annual Income","6","Text","?78 ,188"
,,,,OUT,"File Data","Loan Amount","6","Text","?5,792.84"
,,,,OUT,"File Data","Loan Request Date","6","Text","23-Oct-24"
,,,,OUT,"File Data","Loan Term","6","Text","9"
,,,,OUT,"File Data","Loan Approved","6","Text",""
,,,,OUT,"File Data","APR %","6","Text",""
,,,,OUT,"File Data","Loan ID","6","Text",""
,,,,OUT,"File Data","loan info","6","Text",""
,,,,OUT,"File Data","Name","7","Text","Danielle Hyde"
,,,,OUT,"File Data","Email","7","Text","imperdiet.ornare@outlook.edu"
,,,,OUT,"File Data","Age","7","Text","89"
,,,,OUT,"File Data","Annual Income","7","Text","?68 ,878"
,,,,OUT,"File Data","Loan Amount","7","Text","?4,499.49"
,,,,OUT,"File Data","Loan Request Date","7","Text","27-Nov-24"
,,,,OUT,"File Data","Loan Term","7","Text","9"
,,,,OUT,"File Data","Loan Approved","7","Text",""
,,,,OUT,"File Data","APR %","7","Text",""
,,,,OUT,"File Data","Loan ID","7","Text",""
,,,,OUT,"File Data","loan info","7","Text",""
,,,,OUT,"File Data","Name","8","Text","Stacy Barrera"
,,,,OUT,"File Data","Email","8","Text","eu.odio@google.couk"
,,,,OUT,"File Data","Age","8","Text","44"
,,,,OUT,"File Data","Annual Income","8","Text","?39 ,760"
,,,,OUT,"File Data","Loan Amount","8","Text","?1,834.04"
,,,,OUT,"File Data","Loan Request Date","8","Text","16-Dec-24"
,,,,OUT,"File Data","Loan Term","8","Text","9"
,,,,OUT,"File Data","Loan Approved","8","Text",""
,,,,OUT,"File Data","APR %","8","Text",""
,,,,OUT,"File Data","Loan ID","8","Text",""
,,,,OUT,"File Data","loan info","8","Text",""
,,,,OUT,"File Data","Name","9","Text","Holmes Morin"
,,,,OUT,"File Data","Email","9","Text","cras.dolor@protonmail.com"
,,,,OUT,"File Data","Age","9","Text","22"
,,,,OUT,"File Data","Annual Income","9","Text","?63 ,651"
,,,,OUT,"File Data","Loan Amount","9","Text","?9,620.30"
,,,,OUT,"File Data","Loan Request Date","9","Text","27-Jul-24"
,,,,OUT,"File Data","Loan Term","9","Text","9"
,,,,OUT,"File Data","Loan Approved","9","Text",""
,,,,OUT,"File Data","APR %","9","Text",""
,,,,OUT,"File Data","Loan ID","9","Text",""
,,,,OUT,"File Data","loan info","9","Text",""
,,,,OUT,"File Data","Name","10","Text","Lester Solis"
,,,,OUT,"File Data","Email","10","Text","elit.dictum.eu@hotmail.edu"
,,,,OUT,"File Data","Age","10","Text","96"
,,,,OUT,"File Data","Annual Income","10","Text","?79 ,849"
,,,,OUT,"File Data","Loan Amount","10","Text","?5,366.25"
,,,,OUT,"File Data","Loan Request Date","10","Text","17-Nov-23"
,,,,OUT,"File Data","Loan Term","10","Text","3"
,,,,OUT,"File Data","Loan Approved","10","Text",""
,,,,OUT,"File Data","APR %","10","Text",""
,,,,OUT,"File Data","Loan ID","10","Text",""
,,,,OUT,"File Data","loan info","10","Text",""
,,,,OUT,"File Data","Name","11","Text","Brock Mcfadden"
,,,,OUT,"File Data","Email","11","Text","sed@hotmail.com"
,,,,OUT,"File Data","Age","11","Text","49"
,,,,OUT,"File Data","Annual Income","11","Text","?28 ,679"
,,,,OUT,"File Data","Loan Amount","11","Text","?176.95"
,,,,OUT,"File Data","Loan Request Date","11","Text","24-Mar-24"
,,,,OUT,"File Data","Loan Term","11","Text","3"
,,,,OUT,"File Data","Loan Approved","11","Text",""
,,,,OUT,"File Data","APR %","11","Text",""
,,,,OUT,"File Data","Loan ID","11","Text",""
,,,,OUT,"File Data","loan info","11","Text",""
,,,,OUT,"File Data","Name","12","Text","Imelda Garcia"
,,,,OUT,"File Data","Email","12","Text","sed.orci.lobortis@protonmail.edu"
,,,,OUT,"File Data","Age","12","Text","84"
,,,,OUT,"File Data","Annual Income","12","Text","?5 ,528"
,,,,OUT,"File Data","Loan Amount","12","Text","?9,212.86"
,,,,OUT,"File Data","Loan Request Date","12","Text","2-Sep-24"
,,,,OUT,"File Data","Loan Term","12","Text","3"
,,,,OUT,"File Data","Loan Approved","12","Text",""
,,,,OUT,"File Data","APR %","12","Text",""
,,,,OUT,"File Data","Loan ID","12","Text",""
,,,,OUT,"File Data","loan info","12","Text",""
,,,,OUT,"File Data","Name","13","Text","Janna Watts"
,,,,OUT,"File Data","Email","13","Text","orci.ut.semper@protonmail.edu"
,,,,OUT,"File Data","Age","13","Text","98"
,,,,OUT,"File Data","Annual Income","13","Text","?86 ,907"
,,,,OUT,"File Data","Loan Amount","13","Text","?8,946.91"
,,,,OUT,"File Data","Loan Request Date","13","Text","2-Sep-24"
,,,,OUT,"File Data","Loan Term","13","Text","3"
,,,,OUT,"File Data","Loan Approved","13","Text",""
,,,,OUT,"File Data","APR %","13","Text",""
,,,,OUT,"File Data","Loan ID","13","Text",""
,,,,OUT,"File Data","loan info","13","Text",""
,,,,OUT,"File Data","Name","14","Text","Davis Neal"
,,,,OUT,"File Data","Email","14","Text","vestibulum@protonmail.couk"
,,,,OUT,"File Data","Age","14","Text","27"
,,,,OUT,"File Data","Annual Income","14","Text","?40 ,880"
,,,,OUT,"File Data","Loan Amount","14","Text","?446.09"
,,,,OUT,"File Data","Loan Request Date","14","Text","10-Sep-23"
,,,,OUT,"File Data","Loan Term","14","Text","3"
,,,,OUT,"File Data","Loan Approved","14","Text",""
,,,,OUT,"File Data","APR %","14","Text",""
,,,,OUT,"File Data","Loan ID","14","Text",""
,,,,OUT,"File Data","loan info","14","Text",""
,,,,OUT,"File Data","Name","15","Text","Martha Farrell"
,,,,OUT,"File Data","Email","15","Text","id.magna@protonmail.net"
,,,,OUT,"File Data","Age","15","Text","98"
,,,,OUT,"File Data","Annual Income","15","Text","?85 ,421"
,,,,OUT,"File Data","Loan Amount","15","Text","?7,528.40"
,,,,OUT,"File Data","Loan Request Date","15","Text","1-Jan-25"
,,,,OUT,"File Data","Loan Term","15","Text","3"
,,,,OUT,"File Data","Loan Approved","15","Text",""
,,,,OUT,"File Data","APR %","15","Text",""
,,,,OUT,"File Data","Loan ID","15","Text",""
,,,,OUT,"File Data","loan info","15","Text",""
,,,,OUT,"File Data","Name","16","Text","Dale Patton"
,,,,OUT,"File Data","Email","16","Text","fringilla.euismod.enim@yahoo.com"
